plateID,run_date,well_type,signal
P01,2026-01-01,neg,100.06838553450636
P01,2026-01-01,pos,22.71949508061992
P01,2026-01-01,sample,71.0224897072734
P01,2026-01-01,neg,98.97938584642466
P01,2026-01-01,pos,19.404060977787104
P01,2026-01-01,sample,55.25354226269917
P01,2026-01-01,neg,101.13945271514392
P01,2026-01-01,pos,19.887871121908766
P01,2026-01-01,sample,66.7219705463089
P02,2026-01-02,neg,96.30535040205179
P02,2026-01-02,pos,23.13309754939904
P02,2026-01-02,sample,59.132110558599415
P02,2026-01-02,neg,101.36075690654829
P02,2026-01-02,pos,19.726867332046343
P02,2026-01-02,sample,56.58811289632632
P02,2026-01-02,neg,100.92622031719517
P02,2026-01-02,pos,21.649027055060227
P02,2026-01-02,sample,58.17723116375894
P03,2026-01-03,neg,99.69442764285961
P03,2026-01-03,pos,21.371397221618516
P03,2026-01-03,sample,52.16693422247546
P03,2026-01-03,neg,96.97123299253721
P03,2026-01-03,pos,20.78996372549906
P03,2026-01-03,sample,53.96490758680908
P03,2026-01-03,neg,96.15931881976394
P03,2026-01-03,pos,18.371892672109283
P03,2026-01-03,sample,55.79162196996528
P04,2026-01-04,neg,97.61359504513548
P04,2026-01-04,pos,17.015072231873933
P04,2026-01-04,sample,60.329740442503244
P04,2026-01-04,neg,101.7944985134555
P04,2026-01-04,pos,19.533735844079086
P04,2026-01-04,sample,53.307635734420394
P04,2026-01-04,neg,100.76998761749581
P04,2026-01-04,pos,21.43447161438877
P04,2026-01-04,sample,57.2999046136037
P05,2026-01-05,neg,101.08933561584179
P05,2026-01-05,pos,22.085750953165906
P05,2026-01-05,sample,58.13739207412508
P05,2026-01-05,neg,98.37296891603685
P05,2026-01-05,pos,20.695301197031018
P05,2026-01-05,sample,62.22791166866563
P05,2026-01-05,neg,102.19762553682882
P05,2026-01-05,pos,17.43083844238931
P05,2026-01-05,sample,54.04548362680007
P06,2026-01-06,neg,98.32366607856865
P06,2026-01-06,pos,16.531970307534298
P06,2026-01-06,sample,61.137910996772966
P06,2026-01-06,neg,101.05560842499105
P06,2026-01-06,pos,18.522419937048387
P06,2026-01-06,sample,72.47082367046542
P06,2026-01-06,neg,101.64384867332087
P06,2026-01-06,pos,21.25475295767107
P06,2026-01-06,sample,63.61536382296873
P07,2026-01-07,neg,101.91133912889727
P07,2026-01-07,pos,17.336040320913796
P07,2026-01-07,sample,65.52536692424877
P07,2026-01-07,neg,101.2055536670669
P07,2026-01-07,pos,16.46456284571405
P07,2026-01-07,sample,63.12327091848942
P07,2026-01-07,neg,99.49915730658006
P07,2026-01-07,pos,21.5630453921234
P07,2026-01-07,sample,56.04844031126098
P08,2026-01-08,neg,99.9635182847018
P08,2026-01-08,pos,20.68570303463531
P08,2026-01-08,sample,52.11364480130213
P08,2026-01-08,neg,101.19719329636077
P08,2026-01-08,pos,19.790073622952665
P08,2026-01-08,sample,64.43234361311319
P08,2026-01-08,neg,98.95632498732643
P08,2026-01-08,pos,22.172403086555036
P08,2026-01-08,sample,65.44681780586527
P09,2026-01-09,neg,99.64394995056132
P09,2026-01-09,pos,21.263914314187222
P09,2026-01-09,sample,71.33779645222762
P09,2026-01-09,neg,103.58235102699598
P09,2026-01-09,pos,16.85284725911956
P09,2026-01-09,sample,67.94818630460267
P09,2026-01-09,neg,100.93013701702677
P09,2026-01-09,pos,19.812278439627313
P09,2026-01-09,sample,50.94001558520636
P10,2026-01-10,neg,102.5143772269463
P10,2026-01-10,pos,17.476524013110858
P10,2026-01-10,sample,65.10250919161274
P10,2026-01-10,neg,102.60373599240538
P10,2026-01-10,pos,16.80066142389704
P10,2026-01-10,sample,57.27733943565064
P10,2026-01-10,neg,97.3815663649674
P10,2026-01-10,pos,20.4881082160718
P10,2026-01-10,sample,73.62937617607189
P11,2026-01-11,neg,104.0471120583444
P11,2026-01-11,pos,16.44377111423297
P11,2026-01-11,sample,54.82545894851046
P11,2026-01-11,neg,101.40709018666182
P11,2026-01-11,pos,23.158745304186443
P11,2026-01-11,sample,63.79089579850468
P11,2026-01-11,neg,98.50769600481858
P11,2026-01-11,pos,20.594263019274877
P11,2026-01-11,sample,59.8504271911725
P12,2026-01-12,neg,99.59251855522366
P12,2026-01-12,pos,18.53105780290516
P12,2026-01-12,sample,63.48533780348705
P12,2026-01-12,neg,100.61575925273162
P12,2026-01-12,pos,19.8140317448473
P12,2026-01-12,sample,58.00480854269397
P12,2026-01-12,neg,97.43016685892066
P12,2026-01-12,pos,19.027648665717134
P12,2026-01-12,sample,70.85804704211978
P13,2026-01-13,neg,99.61888348626795
P13,2026-01-13,pos,17.12060536632375
P13,2026-01-13,sample,72.00998526256184
P13,2026-01-13,neg,101.06053081696584
P13,2026-01-13,pos,24.216174057250605
P13,2026-01-13,sample,60.56260952452548
P13,2026-01-13,neg,99.07723084189662
P13,2026-01-13,pos,17.104710602448908
P13,2026-01-13,sample,71.91454533057491
P14,2026-01-14,neg,105.13902302598102
P14,2026-01-14,pos,18.35813012555225
P14,2026-01-14,sample,54.176211237982216
P14,2026-01-14,neg,101.19237759734469
P14,2026-01-14,pos,18.339309129173227
P14,2026-01-14,sample,57.5649746970703
P14,2026-01-14,neg,99.30032460111586
P14,2026-01-14,pos,20.383917774584113
P14,2026-01-14,sample,69.85336599060612
P15,2026-01-15,neg,100.04413517942784
P15,2026-01-15,pos,21.837820191560276
P15,2026-01-15,sample,56.22099993599556
P15,2026-01-15,neg,100.6555970714468
P15,2026-01-15,pos,15.723548820973622
P15,2026-01-15,sample,46.950467398967504
P15,2026-01-15,neg,101.59182682536355
P15,2026-01-15,pos,18.819701201918107
P15,2026-01-15,sample,65.21923431125391
P16,2026-01-16,neg,101.08468850962929
P16,2026-01-16,pos,22.644557716473628
P16,2026-01-16,sample,67.30673153708581
P16,2026-01-16,neg,102.03398270033323
P16,2026-01-16,pos,19.77665733867158
P16,2026-01-16,sample,53.7154334109341
P16,2026-01-16,neg,98.53688244454867
P16,2026-01-16,pos,19.023912119422533
P16,2026-01-16,sample,49.83153797388205
P17,2026-01-17,neg,98.90511283575928
P17,2026-01-17,pos,19.81486189698305
P17,2026-01-17,sample,62.26450761395233
P17,2026-01-17,neg,99.32221841986043
